date,price,product,store_name
10/01/2021,149.00 zł ,"Belvedere 40% 0,7l",Hurtownia alkoholi
10/01/2021,166.80 zł ,"Belvedere 40% 0,7l Unfiltred",Hurtownia alkoholi
10/01/2021,1130.00 zł ,Belvedere 40% 3l Gun Metal,Hurtownia alkoholi
10/01/2021,1130.00 zł ,Belvedere 40% 3l Illuminator,Hurtownia alkoholi
10/01/2021,1505.00 zł ,Belvedere 40% 6l Illuminator,Hurtownia alkoholi
10/01/2021,195.00 zł ,"Belvedere Bartezek 40% 0,7l",Hurtownia alkoholi
10/01/2021,666.00 zł ,"Belvedere Bespoke Silver 40% 1,75l",Hurtownia alkoholi
10/01/2021,169.00 zł ,"Belvedere Citrus 40% 0,7l",Hurtownia alkoholi
10/01/2021,169.00 zł ,"Belvedere Future Janelle 40% 0,7l",Hurtownia alkoholi
10/01/2021,175.00 zł ,"Belvedere Heritage 176 40% 0,7l",Hurtownia alkoholi
10/01/2021,470.00 zł ,"Belvedere Midnigtht Saber 40% 1,75l Czarny",Hurtownia alkoholi
10/01/2021,149.00 zł ,"Belvedere Pure Spritz Glass 40% 0,7l Karton",Hurtownia alkoholi
10/01/2021,149.00 zł ,"Belvedere Pure Tin Box 40% 0,7l",Hurtownia alkoholi
10/01/2021,195.00 zł ,"Belvedere Smogóry Forest 40% 0,7l",Hurtownia alkoholi
10/01/2021,27.00 zł ,"Biała Żubrówka  Z Nutą Jałowca 37,5% 0,5l",Hurtownia alkoholi
10/01/2021,13.90 zł ,"Biała Żubrówka 40% 0,2l",Hurtownia alkoholi
10/01/2021,22.00 zł ,"Biała Żubrówka 40% 0,5l",Hurtownia alkoholi
10/01/2021,36.00 zł ,"Biała Żubrówka 40% 0,7l",Hurtownia alkoholi
10/01/2021,49.00 zł ,Biała Żubrówka 40% 1l,Hurtownia alkoholi
10/01/2021,17.50 zł ,"Biały Bocian 40% 0,2l",Hurtownia alkoholi
10/01/2021,27.00 zł ,"Biały Bocian 40% 0,5l",Hurtownia alkoholi
10/01/2021,42.00 zł ,"Biały Bocian 40% 0,7l",Hurtownia alkoholi
10/01/2021,61.00 zł ,Biały Bocian 40% 1l,Hurtownia alkoholi
10/01/2021,17.40 zł ,"Biały Bocian Cytryna  30% 0,2l",Hurtownia alkoholi
10/01/2021,27.50 zł ,"Biały Bocian Cytryna 30% 0,5l",Hurtownia alkoholi
10/01/2021,27.50 zł ,"Biały Bocian Cytryna Na Miodzie  30% 0,5l",Hurtownia alkoholi
10/01/2021,33.00 zł ,"Biały Bocian Organic 40% 0,5l",Hurtownia alkoholi
10/01/2021,17.40 zł ,"Biały Bocian Pigwa 30% 0,2l",Hurtownia alkoholi
10/01/2021,27.50 zł ,"Biały Bocian Pigwa 30% 0,5l",Hurtownia alkoholi
10/01/2021,27.50 zł ,"Biały Bocian Pigwa 30% 0,5l",Hurtownia alkoholi
10/01/2021,17.40 zł ,"Biały Bocian Porzeczka 30% 0,2l",Hurtownia alkoholi
10/01/2021,27.50 zł ,"Biały Bocian Porzeczka 30% 0,5l",Hurtownia alkoholi
10/01/2021,17.40 zł ,"Biały Bocian Śliwka 30% 0,2l",Hurtownia alkoholi
10/01/2021,27.50 zł ,"Biały Bocian Śliwka 30% 0,5l",Hurtownia alkoholi
10/01/2021,27.50 zł ,"Biały Bocian Wiśnia 30% 0,5l",Hurtownia alkoholi
10/01/2021,129.00 zł ,"Bimber 40% 0,7l",Hurtownia alkoholi
10/01/2021,142.00 zł ,"Bimber 40% 0,7l",Hurtownia alkoholi
10/01/2021,26.00 zł ,"Bimber Copernicus 40% 0,5l",Hurtownia alkoholi
10/01/2021,210.00 zł ,"Bimber Czarny 50% 0,7l",Hurtownia alkoholi
10/01/2021,200.00 zł ,"Bimber Starzony w Beczce 43% 0,7l",Hurtownia alkoholi
10/01/2021,130.00 zł ,"Bimber z Miodem 40% 0,7l",Hurtownia alkoholi
10/01/2021,31.00 zł ,"Bjorn 40% 0,5l Biały",Hurtownia alkoholi
10/01/2021,47.00 zł ,"Bjorn 40% 0,7l Biały",Hurtownia alkoholi
10/01/2021,40.80 zł ,"Bjorn 45% 0,5l Czarny",Hurtownia alkoholi
10/01/2021,27.00 zł ,"Bjorn Crystal 40% 0,5l",Hurtownia alkoholi
10/01/2021,40.00 zł ,"Bjorn Crystal 40% 0,7l",Hurtownia alkoholi
10/01/2021,38.00 zł ,"Bjorn Platinum 40% 0,5l Czarny",Hurtownia alkoholi
10/01/2021,52.50 zł ,"Bjorn Platinum 40% 0,7l Czarny",Hurtownia alkoholi
10/01/2021,27.00 zł ,"Blue Bird 40% 0,5l",Hurtownia alkoholi
10/01/2021,16.50 zł ,"Bols 40% 0,2L",Hurtownia alkoholi
10/01/2021,27.00 zł ,"Bols 40% 0,5L",Hurtownia alkoholi
10/01/2021,42.00 zł ,"Bols 40% 0,7L",Hurtownia alkoholi
10/01/2021,57.00 zł ,Bols 40% 1L,Hurtownia alkoholi
